group_num;n_bins;distance;method
0;75;0.208609;Bhattacharyya
0;75;0.441689;Chisquare
0;75;0.921667;Correlation
0;75;0.311881;Chisquare Alt
0;75;0.792396;Intersect
0;75;0.198695;KL DIV
0;76;0.208348;Bhattacharyya
0;76;0.423742;Chisquare
0;76;0.918848;Correlation
0;76;0.312341;Chisquare Alt
0;76;0.792542;Intersect
0;76;0.200642;KL DIV
0;77;0.209533;Bhattacharyya
0;77;0.433171;Chisquare
0;77;0.923679;Correlation
0;77;0.314383;Chisquare Alt
0;77;0.789497;Intersect
0;77;0.204363;KL DIV
0;78;0.210289;Bhattacharyya
0;78;0.438618;Chisquare
0;78;0.922518;Correlation
0;78;0.317072;Chisquare Alt
0;78;0.790307;Intersect
0;78;0.201142;KL DIV
0;79;0.210671;Bhattacharyya
0;79;0.437239;Chisquare
0;79;0.923359;Correlation
0;79;0.316922;Chisquare Alt
0;79;0.790152;Intersect
0;79;0.205479;KL DIV
0;80;0.213313;Bhattacharyya
0;80;0.450735;Chisquare
0;80;0.915468;Correlation
0;80;0.324209;Chisquare Alt
0;80;0.788086;Intersect
0;80;0.207644;KL DIV
0;81;0.213295;Bhattacharyya
0;81;0.447635;Chisquare
0;81;0.923502;Correlation
0;81;0.324921;Chisquare Alt
0;81;0.787;Intersect
0;81;0.209825;KL DIV
0;82;0.214376;Bhattacharyya
0;82;0.451918;Chisquare
0;82;0.917103;Correlation
0;82;0.328057;Chisquare Alt
0;82;0.784387;Intersect
0;82;0.216793;KL DIV
0;83;0.212935;Bhattacharyya
0;83;0.443775;Chisquare
0;83;0.925182;Correlation
0;83;0.322714;Chisquare Alt
0;83;0.787734;Intersect
0;83;0.210112;KL DIV
0;84;0.217074;Bhattacharyya
0;84;0.4835;Chisquare
0;84;0.913739;Correlation
0;84;0.335805;Chisquare Alt
0;84;0.781912;Intersect
0;84;0.215624;KL DIV
0;85;0.216821;Bhattacharyya
0;85;0.484076;Chisquare
0;85;0.915524;Correlation
0;85;0.333049;Chisquare Alt
0;85;0.782882;Intersect
0;85;0.218714;KL DIV
0;86;0.217151;Bhattacharyya
0;86;0.474812;Chisquare
0;86;0.917375;Correlation
0;86;0.335648;Chisquare Alt
0;86;0.782583;Intersect
0;86;0.21879;KL DIV
0;87;0.215502;Bhattacharyya
0;87;0.459892;Chisquare
0;87;0.91578;Correlation
0;87;0.331139;Chisquare Alt
0;87;0.783574;Intersect
0;87;0.220264;KL DIV
0;88;0.218582;Bhattacharyya
0;88;0.462078;Chisquare
0;88;0.917844;Correlation
0;88;0.336807;Chisquare Alt
0;88;0.782727;Intersect
0;88;0.225885;KL DIV
0;89;0.218376;Bhattacharyya
0;89;0.496362;Chisquare
0;89;0.913254;Correlation
0;89;0.338254;Chisquare Alt
0;89;0.781758;Intersect
0;89;0.224165;KL DIV
0;90;0.221179;Bhattacharyya
0;90;0.474764;Chisquare
0;90;0.916226;Correlation
0;90;0.345915;Chisquare Alt
0;90;0.779066;Intersect
0;90;0.228748;KL DIV
0;91;0.21791;Bhattacharyya
0;91;0.453837;Chisquare
0;91;0.91488;Correlation
0;91;0.335986;Chisquare Alt
0;91;0.784476;Intersect
0;91;0.225278;KL DIV
0;92;0.219768;Bhattacharyya
0;92;0.488225;Chisquare
0;92;0.918552;Correlation
0;92;0.34164;Chisquare Alt
0;92;0.781079;Intersect
0;92;0.229085;KL DIV
0;93;0.220715;Bhattacharyya
0;93;0.491895;Chisquare
0;93;0.913606;Correlation
0;93;0.342996;Chisquare Alt
0;93;0.780954;Intersect
0;93;0.227722;KL DIV
0;94;0.221622;Bhattacharyya
0;94;0.477532;Chisquare
0;94;0.91701;Correlation
0;94;0.345796;Chisquare Alt
0;94;0.781071;Intersect
0;94;0.229256;KL DIV
0;95;0.22098;Bhattacharyya
0;95;0.474569;Chisquare
0;95;0.9171;Correlation
0;95;0.3437;Chisquare Alt
0;95;0.778913;Intersect
0;95;0.231849;KL DIV
0;96;0.222247;Bhattacharyya
0;96;0.496714;Chisquare
0;96;0.914241;Correlation
0;96;0.347421;Chisquare Alt
0;96;0.780096;Intersect
0;96;0.232586;KL DIV
0;97;0.223495;Bhattacharyya
0;97;0.495476;Chisquare
0;97;0.913125;Correlation
0;97;0.350531;Chisquare Alt
0;97;0.779275;Intersect
0;97;0.24262;KL DIV
0;98;0.223505;Bhattacharyya
0;98;0.510251;Chisquare
0;98;0.917006;Correlation
0;98;0.349186;Chisquare Alt
0;98;0.779937;Intersect
0;98;0.238429;KL DIV
0;99;0.225133;Bhattacharyya
0;99;0.485701;Chisquare
0;99;0.915307;Correlation
0;99;0.355254;Chisquare Alt
0;99;0.777093;Intersect
0;99;0.250958;KL DIV
0;100;0.222922;Bhattacharyya
0;100;0.492857;Chisquare
0;100;0.915083;Correlation
0;100;0.349496;Chisquare Alt
0;100;0.777857;Intersect
0;100;0.236049;KL DIV
0;101;0.226899;Bhattacharyya
0;101;0.504972;Chisquare
0;101;0.915167;Correlation
0;101;0.358814;Chisquare Alt
0;101;0.776586;Intersect
0;101;0.245573;KL DIV
0;102;0.225795;Bhattacharyya
0;102;0.501323;Chisquare
0;102;0.916061;Correlation
0;102;0.356427;Chisquare Alt
0;102;0.777595;Intersect
0;102;0.248561;KL DIV
0;103;0.22758;Bhattacharyya
0;103;0.510807;Chisquare
0;103;0.91507;Correlation
0;103;0.360062;Chisquare Alt
0;103;0.776456;Intersect
0;103;0.250503;KL DIV
0;104;0.227123;Bhattacharyya
0;104;0.530071;Chisquare
0;104;0.910933;Correlation
0;104;0.359131;Chisquare Alt
0;104;0.774527;Intersect
0;104;0.2544;KL DIV
0;105;0.228723;Bhattacharyya
0;105;0.513021;Chisquare
0;105;0.914252;Correlation
0;105;0.362997;Chisquare Alt
0;105;0.773429;Intersect
0;105;0.250743;KL DIV
0;106;0.228728;Bhattacharyya
0;106;0.512565;Chisquare
0;106;0.90986;Correlation
0;106;0.364101;Chisquare Alt
0;106;0.772518;Intersect
0;106;0.254622;KL DIV
0;107;0.229364;Bhattacharyya
0;107;0.53828;Chisquare
0;107;0.911023;Correlation
0;107;0.364301;Chisquare Alt
0;107;0.773529;Intersect
0;107;0.257347;KL DIV
0;108;0.230916;Bhattacharyya
0;108;0.508496;Chisquare
0;108;0.913174;Correlation
0;108;0.370301;Chisquare Alt
0;108;0.770508;Intersect
0;108;0.261878;KL DIV
0;109;0.230466;Bhattacharyya
0;109;0.505768;Chisquare
0;109;0.914036;Correlation
0;109;0.36621;Chisquare Alt
0;109;0.772434;Intersect
0;109;0.264462;KL DIV
0;110;0.232192;Bhattacharyya
0;110;0.535605;Chisquare
0;110;0.910419;Correlation
0;110;0.372781;Chisquare Alt
0;110;0.769935;Intersect
0;110;0.262562;KL DIV
0;111;0.230501;Bhattacharyya
0;111;0.533999;Chisquare
