group_num;n_bins;distance;method
0;67;0.206944;Intersect
0;67;12.6294;KL DIV
0;68;0.804403;Bhattacharyya
0;68;109.681;Chisquare
0;68;0.111675;Correlation
0;68;2.85868;Chisquare Alt
0;68;0.205651;Intersect
0;68;12.6475;KL DIV
0;69;0.804137;Bhattacharyya
0;69;47.8815;Chisquare
0;69;0.112988;Correlation
0;69;2.85321;Chisquare Alt
0;69;0.207004;Intersect
0;69;12.5511;KL DIV
0;70;0.804302;Bhattacharyya
0;70;119.14;Chisquare
0;70;0.10772;Correlation
0;70;2.86093;Chisquare Alt
0;70;0.205287;Intersect
0;70;12.6174;KL DIV
0;71;0.804362;Bhattacharyya
0;71;168.86;Chisquare
0;71;0.110591;Correlation
0;71;2.85505;Chisquare Alt
0;71;0.206603;Intersect
0;71;12.5622;KL DIV
0;72;0.805071;Bhattacharyya
0;72;147.452;Chisquare
0;72;0.115784;Correlation
0;72;2.85839;Chisquare Alt
0;72;0.206545;Intersect
0;72;12.5526;KL DIV
0;73;0.804625;Bhattacharyya
0;73;103.323;Chisquare
0;73;0.113169;Correlation
0;73;2.85883;Chisquare Alt
0;73;0.205869;Intersect
0;73;12.5505;KL DIV
0;74;0.8045;Bhattacharyya
0;74;84.2792;Chisquare
0;74;0.111948;Correlation
0;74;2.84904;Chisquare Alt
0;74;0.212428;Intersect
0;74;12.5175;KL DIV
0;75;0.805875;Bhattacharyya
0;75;100.168;Chisquare
0;75;0.104446;Correlation
0;75;2.8631;Chisquare Alt
0;75;0.205138;Intersect
0;75;12.5278;KL DIV
0;76;0.805127;Bhattacharyya
0;76;102.724;Chisquare
0;76;0.104888;Correlation
0;76;2.852;Chisquare Alt
0;76;0.211103;Intersect
0;76;12.4918;KL DIV
0;77;0.805689;Bhattacharyya
0;77;84.0637;Chisquare
0;77;0.0998686;Correlation
0;77;2.86264;Chisquare Alt
0;77;0.206258;Intersect
0;77;12.5107;KL DIV
0;78;0.805611;Bhattacharyya
0;78;49.5929;Chisquare
0;78;0.109165;Correlation
0;78;2.85298;Chisquare Alt
0;78;0.210906;Intersect
0;78;12.4923;KL DIV
0;79;0.806862;Bhattacharyya
0;79;108.017;Chisquare
0;79;0.109907;Correlation
0;79;2.86595;Chisquare Alt
0;79;0.204708;Intersect
0;79;12.4711;KL DIV
0;80;0.80664;Bhattacharyya
0;80;107.538;Chisquare
0;80;0.108416;Correlation
0;80;2.86318;Chisquare Alt
0;80;0.205401;Intersect
0;80;12.5172;KL DIV
0;81;0.807958;Bhattacharyya
0;81;42.3155;Chisquare
0;81;0.10513;Correlation
0;81;2.86703;Chisquare Alt
0;81;0.204257;Intersect
0;81;12.5038;KL DIV
0;82;0.807695;Bhattacharyya
0;82;46.2673;Chisquare
0;82;0.104014;Correlation
0;82;2.87203;Chisquare Alt
0;82;0.204082;Intersect
0;82;12.4545;KL DIV
0;83;0.807137;Bhattacharyya
0;83;91.9753;Chisquare
0;83;0.110089;Correlation
0;83;2.8644;Chisquare Alt
0;83;0.205045;Intersect
0;83;12.4412;KL DIV
0;84;0.808767;Bhattacharyya
0;84;53.4858;Chisquare
0;84;0.101813;Correlation
0;84;2.8712;Chisquare Alt
0;84;0.204576;Intersect
0;84;12.4931;KL DIV
0;85;0.808688;Bhattacharyya
0;85;62.092;Chisquare
0;85;0.102642;Correlation
0;85;2.87397;Chisquare Alt
0;85;0.203857;Intersect
0;85;12.4334;KL DIV
0;86;0.809051;Bhattacharyya
0;86;51.32;Chisquare
0;86;0.107814;Correlation
0;86;2.87412;Chisquare Alt
0;86;0.20393;Intersect
0;86;12.4409;KL DIV
0;87;0.808796;Bhattacharyya
0;87;78.7625;Chisquare
0;87;0.100379;Correlation
0;87;2.87516;Chisquare Alt
0;87;0.204237;Intersect
0;87;12.4368;KL DIV
0;88;0.808654;Bhattacharyya
0;88;75.3608;Chisquare
0;88;0.10671;Correlation
0;88;2.87358;Chisquare Alt
0;88;0.203457;Intersect
0;88;12.4478;KL DIV
0;89;0.809222;Bhattacharyya
0;89;62.4406;Chisquare
0;89;0.103361;Correlation
0;89;2.87862;Chisquare Alt
0;89;0.203532;Intersect
0;89;12.3977;KL DIV
0;90;0.808706;Bhattacharyya
0;90;81.8674;Chisquare
0;90;0.102973;Correlation
0;90;2.87586;Chisquare Alt
0;90;0.202882;Intersect
0;90;12.383;KL DIV
0;91;0.809397;Bhattacharyya
0;91;120.11;Chisquare
0;91;0.101779;Correlation
0;91;2.87587;Chisquare Alt
0;91;0.205119;Intersect
0;91;12.4393;KL DIV
0;92;0.809768;Bhattacharyya
0;92;63.4714;Chisquare
0;92;0.108774;Correlation
0;92;2.88037;Chisquare Alt
0;92;0.201841;Intersect
0;92;12.3934;KL DIV
0;93;0.809009;Bhattacharyya
0;93;84.6213;Chisquare
0;93;0.108771;Correlation
0;93;2.87761;Chisquare Alt
0;93;0.20427;Intersect
0;93;12.3568;KL DIV
0;94;0.810187;Bhattacharyya
0;94;53.72;Chisquare
0;94;0.108229;Correlation
0;94;2.87839;Chisquare Alt
0;94;0.202102;Intersect
0;94;12.397;KL DIV
0;95;0.810997;Bhattacharyya
0;95;96.9149;Chisquare
0;95;0.104765;Correlation
0;95;2.88443;Chisquare Alt
0;95;0.202924;Intersect
0;95;12.3558;KL DIV
0;96;0.809628;Bhattacharyya
0;96;82.6207;Chisquare
0;96;0.102277;Correlation
0;96;2.87953;Chisquare Alt
0;96;0.201971;Intersect
0;96;12.349;KL DIV
0;97;0.81025;Bhattacharyya
0;97;76.1402;Chisquare
0;97;0.100942;Correlation
0;97;2.88161;Chisquare Alt
0;97;0.20357;Intersect
0;97;12.3012;KL DIV
0;98;0.810709;Bhattacharyya
0;98;31.7153;Chisquare
0;98;0.0989774;Correlation
0;98;2.88056;Chisquare Alt
0;98;0.201967;Intersect
0;98;12.3594;KL DIV
0;99;0.810954;Bhattacharyya
0;99;67.2314;Chisquare
0;99;0.10327;Correlation
0;99;2.88863;Chisquare Alt
0;99;0.201991;Intersect
0;99;12.3533;KL DIV
0;100;0.809762;Bhattacharyya
0;100;59.8796;Chisquare
0;100;0.100322;Correlation
0;100;2.87617;Chisquare Alt
0;100;0.202907;Intersect
0;100;12.2784;KL DIV
0;101;0.81238;Bhattacharyya
0;101;37.8927;Chisquare
0;101;0.102231;Correlation
0;101;2.89273;Chisquare Alt
0;101;0.200956;Intersect
0;101;12.3177;KL DIV
0;102;0.811112;Bhattacharyya
0;102;61.6187;Chisquare
0;102;0.105079;Correlation
0;102;2.88205;Chisquare Alt
0;102;0.201545;Intersect
0;102;12.3325;KL DIV
0;103;0.811255;Bhattacharyya
0;103;76.5948;Chisquare
0;103;0.104333;Correlation
0;103;2.8921;Chisquare Alt
0;103;0.201302;Intersect
0;103;12.2888;KL DIV
0;104;0.810481;Bhattacharyya
0;104;65.2808;Chisquare
0;104;0.0990216;Correlation
0;104;2.88189;Chisquare Alt
0;104;0.201687;Intersect
0;104;12.2699;KL DIV
0;105;0.812946;Bhattacharyya
0;105;36.1209;Chisquare
0;105;0.0983307;Correlation
0;105;2.89398;Chisquare Alt
0;105;0.201206;Intersect
0;105;12.3199;KL DIV
0;106;0.810675;Bhattacharyya
0;106;58.8784;Chisquare
0;106;0.10834;Correlation
0;106;2.88199;Chisquare Alt
0;106;0.202022;Intersect
0;106;12.2543;KL DIV
0;107;0.812436;Bhattacharyya
0;107;74.4295;Chisquare
0;107;0.0973626;Correlation
0;107;2.89214;Chisquare Alt
0;107;0.20142;Intersect
0;107;12.2567;KL DIV
0;108;0.812392;Bhattacharyya
0;108;39.2033;Chisquare
0;108;0.108303;Correlation
0;108;2.88716;Chisquare Alt
0;108;0.200477;Intersect
0;108;12.2147;KL DIV
0;109;0.811858;Bhattacharyya
0;109;105.394;Chisquare
0;109;0.10067;Correlation
0;109;2.89116;Chisquare Alt
0;109;0.201893;Intersect
0;109;12.2693;KL DIV
0;110;0.812684;Bhattacharyya
0;110;51.4242;Chisquare
0;110;0.104295;Correlation
0;110;2.88828;Chisquare Alt
0;110;0.200927;Intersect
0;110;12.2396;KL DIV
0;111;0.812657;Bhattacharyya
0;111;65.2278;Chisquare
0;111;0.0986763;Correlation
0;111;2.89012;Chisquare Alt
0;111;0.201874;Intersect
0;111;12.1862;KL DIV
0;112;0.812572;Bhattacharyya
0;112;55.7074;Chisquare
0;112;0.0991159;Correlation
0;112;2.88875;Chisquare Alt
0;112;0.20146;Intersect
0;112;12.2436;KL DIV
0;113;0.813089;Bhattacharyya
0;113;59.6692;Chisquare
0;113;0.102396;Correlation
0;113;2.8914;Chisquare Alt
0;113;0.201467;Intersect
0;113;12.2129;KL DIV
0;114;0.81425;Bhattacharyya
0;114;50.4912;Chisquare
0;114;0.0896199;Correlation
0;114;2.90036;Chisquare Alt
0;114;0.200092;Intersect
0;114;12.1934;KL DIV
0;115;0.813639;Bhattacharyya
0;115;64.0061;Chisquare
0;115;0.101746;Correlation
0;115;2.89185;Chisquare Alt
0;115;0.201481;Intersect
0;115;12.1861;KL DIV
0;116;0.813314;Bhattacharyya
0;116;79.4985;Chisquare
0;116;0.100835;Correlation
0;116;2.89733;Chisquare Alt
0;116;0.200744;Intersect
0;116;12.1826;KL DIV
0;117;0.813742;Bhattacharyya
0;117;64.4215;Chisquare
0;117;0.0954148;Correlation
0;117;2.89727;Chisquare Alt
0;117;0.199642;Intersect
0;117;12.2017;KL DIV
0;118;0.814473;Bhattacharyya
0;118;58.877;Chisquare
0;118;0.101525;Correlation
0;118;2.90129;Chisquare Alt
0;118;0.199166;Intersect
0;118;12.1674;KL DIV
0;119;0.814226;Bhattacharyya
0;119;70.8838;Chisquare
0;119;0.0970133;Correlation
0;119;2.89817;Chisquare Alt
